date,original_18_no_rules,original_18_active,original_18_total_wealth,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,spy_benchmark
2017-05-25,406.1493370469133,287.7240992069253,365.5525748701773,438.9674398606257,309.4310002650594,376.61803450292024,554.131227773504,265.2219264225269,442.7075493998593,247.22639670614876
2017-05-26,408.7678921775224,289.57913465190785,367.40761031515984,440.88233556584936,310.78082268846913,377.96785692632994,555.6965178289585,265.9711158258849,443.4567388032173,247.17525050812438
2017-05-30,408.94940840039345,289.70772427880905,367.72293660681834,442.7198661495071,312.07610993505716,379.263144172918,557.8076507357312,266.9815601185085,444.46718309584094,246.96052668135687
2017-05-31,407.3983357328683,288.6089141974901,366.4373898607421,444.1458361802968,313.0812854740797,380.26831971194053,557.8200940664537,266.98751582715647,444.4731388044889,246.89909712076675
2017-06-01,408.88193807814923,289.65992698869877,367.48840265195076,444.33177230122664,313.212353053723,380.3993872915838,563.3534383911068,269.63592141736353,447.12154439469595,248.86253381331983
2017-06-02,410.5198559769337,290.82025992295695,368.64873558620894,446.9603326098669,315.0652422926557,382.2522765305165,565.206147444448,270.52267718855865,448.00830016589106,249.69092181144498
2017-06-05,412.9480084509883,292.5404104183737,370.3688860816257,449.6894556954605,316.98901888640444,384.17605312426525,569.3240922914142,272.49363498785544,449.97925796518786,249.50681353954423
2017-06-06,413.7060775547521,293.0774413331671,370.9059169964191,453.1649965440074,319.4389502106261,386.6259844484869,571.1069883793364,273.34697641918007,450.8325993965125,248.70916738319454
2017-06-07,415.5838223757463,294.4076723292074,372.2361479924594,454.73097736035766,320.5428202620199,387.72985449988073,575.0994734137267,275.257885819267,452.74350879659943,249.16939296047906
2017-06-09,414.7724403311634,293.83287348898835,371.66134915224035,452.8858045082679,244.03448361125544,386.89113820834075,574.5978237190742,275.0177829487978,452.5034059261302,248.9136980523311
2017-06-12,413.3775435153194,292.84470142217305,370.67317708542504,451.3275052684643,242.2958057287375,385.1524603258228,572.5682276299093,274.0463643431531,451.5319873204855,248.86253381331983
2017-06-13,415.895974958961,294.62880729762463,372.4572829608766,452.3810875914367,243.2796448401086,386.1362994371939,576.2088103623344,275.7888439530353,453.27446693036774,250.0794525065606
2017-06-14,414.9881545718557,293.9856896576434,371.81416532089537,451.8408220347408,242.98041647135847,385.8370710684438,578.9051950768223,277.0794053083774,454.5650282857098,249.76245432473127
2017-06-15,413.24105046132803,292.74800708483093,370.5764827480829,451.7661763456807,242.87474049787883,385.7313950949641,578.5059632171657,276.8883223345251,454.37394531185754,249.28187851415876
2017-06-16,414.6521112434336,293.74763002010275,371.57610568335474,452.6002214270904,240.1898444627231,383.0464990598084,581.009522587087,278.08659235744307,455.5722153347755,249.33630817180935
2017-06-19,419.25011270825576,297.00494379349755,374.83341945674954,457.4223156604612,242.49784634202376,385.3545009391091,587.6217454772449,281.2513778901213,458.73700086745373,251.41205000817254
2017-06-20,418.005044957116,296.12291355370206,373.95138921695406,458.7447437952326,241.75168523925802,384.60833983634336,587.713510151812,281.29529890114975,458.78092187848216,249.71657609489847
2017-06-21,419.97748809578076,297.52023068201646,375.34870634526845,463.6163735464906,242.35125544938688,385.2079100464722,592.8181108518927,283.73849640281907,461.2241193801515,249.65489396049097
2017-06-22,420.1412849152065,297.6362675384715,375.4647432017235,465.8750378691423,242.00149079419865,384.858145391284,595.4906023287314,285.0176218198848,462.50324479721723,249.54177697226774
