date,original_18_no_rules,original_18_active,original_18_total_wealth,original_18_sign_changes,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_standard_sign_changes,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,optimal_ethical_sign_changes,spy_benchmark
2012-09-17,141.2644337973096,141.2644337973096,141.2644337973096,0,153.1870449467115,153.1870449467115,153.1870449467115,0,117.04234491558826,117.04234491558826,117.04234491558826,0,136.0840085470949
2012-09-18,141.35009543471443,141.35009543471443,141.35009543471443,0,153.10250644863936,153.10250644863936,153.10250644863936,0,116.85076348515172,116.85076348515172,116.85076348515172,0,135.97271373871175
2012-09-19,141.97001223072868,141.97001223072868,141.97001223072868,0,154.0343444107496,154.0343444107496,154.0343444107496,0,117.43782405286228,117.43782405286228,117.43782405286228,0,136.04693433227445
2012-09-20,141.72186004139405,141.72186004139405,141.72186004139405,0,153.70745388881983,153.70745388881983,153.70745388881983,0,117.44774273864805,117.44774273864805,117.44774273864805,0,136.0562073962247
2012-09-21,141.64245911609714,141.64245911609714,141.64245911609714,0,155.2636642839928,155.2636642839928,155.2636642839928,0,117.61967164589527,117.61967164589527,117.61967164589527,0,135.99936026683332
2012-09-24,140.8807784344552,140.8807784344552,140.8807784344552,0,155.37705464893054,155.37705464893054,155.37705464893054,0,117.45703077738658,117.45703077738658,117.45703077738658,0,135.79425236012105
2012-09-25,139.03026130044526,139.03026130044526,139.03026130044526,0,154.60519455263002,154.60519455263002,154.60519455263002,0,116.90681572223848,116.90681572223848,116.90681572223848,0,134.34906158036102
2012-09-26,138.45083658392434,138.45083658392434,138.45083658392434,0,153.4249734034771,153.4249734034771,153.4249734034771,0,115.6703307108952,115.6703307108952,115.6703307108952,0,133.5939292822432
2012-09-27,139.76862859634454,139.76862859634454,139.76862859634454,0,155.51154971941475,155.51154971941475,155.51154971941475,0,116.97613814186295,116.97613814186295,116.97613814186295,0,134.85257632417188
2012-09-28,139.84509973877385,139.84509973877385,139.84509973877385,0,154.2923028238133,154.2923028238133,154.2923028238133,0,115.0397528459233,115.0397528459233,115.0397528459233,0,134.2279163966533
2012-10-01,140.02396399263753,140.02396399263753,140.02396399263753,0,153.83284351338892,153.83284351338892,153.83284351338892,0,114.06947198011677,114.06947198011677,114.06947198011677,0,134.58220517068932
2012-10-02,140.27834135802067,140.27834135802067,140.27834135802067,0,153.8825087876248,153.8825087876248,153.8825087876248,0,114.51578482529706,114.51578482529706,114.51578482529706,0,134.72202276916062
2012-10-03,140.24534257934303,140.24534257934303,140.24534257934303,0,154.1686654506075,154.1686654506075,154.1686654506075,0,114.47125540044006,114.47125540044006,114.47125540044006,0,135.27214638595865
