date,spy,no_rules,active,total_wealth
2023-08-02,512.7244940880153,866.7889256983643,408.2973976217838,603.503079715371
2023-08-03,511.255128261911,873.9908982073484,411.68985747675094,606.8955395703381
2023-08-04,508.94274342539256,876.4269089886758,412.8373304463591,608.0430125399463
2023-08-07,513.3851548516125,884.6212788844574,416.69725505361254,611.9029371471997
2023-08-08,511.1525472378309,877.228616707978,413.2149716064381,608.4206537000252
2023-08-09,507.73547698687815,857.3297764450965,403.84170384291644,599.0473859365036
2023-08-10,507.91769090583864,856.7589238809129,403.57280606460887,598.7784881581961
2023-08-11,507.6214940621265,842.628407304898,396.91668371003453,592.1223658036217
2023-08-14,510.42365548002493,877.5436958459367,413.3633883527294,608.5690704463166
2023-08-15,504.47770860765024,871.6823863433418,410.60244235352064,606.2824157654181
2023-08-16,500.77577124972856,860.7736612624321,405.4639317774674,600.6696138710546
2023-08-17,496.95995921294775,858.2952981553286,404.2965089170785,599.5021910106657
2023-08-18,497.19911047133775,860.6290491084111,405.39581281055314,600.6014949041403
2023-08-21,500.4340389672584,889.114127654208,418.81359319108867,614.0192752846758
2023-08-22,499.0785839019776,874.555640365391,411.955876973101,607.1615590666881
2023-08-23,504.63722697116,887.1429672313158,417.88508609195435,613.0907681855415
2023-08-24,497.64342377788813,882.3292406986785,415.6175997895017,610.8232818830888
2023-08-25,501.1516731522494,877.3561356037906,413.27503886360336,608.4807209571906
2023-08-28,504.32966430874035,887.7386909690755,418.16569933540677,613.371381428994
2023-08-29,511.61966434572446,907.7070104642864,427.5716950086973,622.7773771022845
2023-08-30,513.7268871340826,911.3260722682345,429.2764393502264,624.4821214438136
2023-08-31,512.975083329041,911.1228010093018,429.1806892505506,624.3863713441378
2023-09-01,513.9319048543863,910.6322508507625,428.94961759377645,624.1552996873636
2023-09-05,511.7107352232405,911.0381277358283,429.1408042495055,624.3464863430927
2023-09-06,508.2707890070163,901.7753248018412,424.7775986056594,619.9832806992466
2023-09-07,506.7102440575035,893.2903199732073,420.7807715954986,615.9864536890858
2023-09-08,507.47341368125245,891.3649396040346,419.8738290044498,615.0795110980371
2023-09-11,510.81092320125316,890.715351916111,419.5678433663746,614.7735254599618
2023-09-12,508.00883394728305,894.1073488765263,421.16562973698694,616.3713118305741
2023-09-13,508.6011193888148,898.366779278489,423.1720171017901,618.3776991953773
2023-09-14,512.9864491477485,908.8039901664164,428.08842283521255,623.2941049287997
2023-09-15,506.8058973444667,887.3121639906922,417.96478553721875,613.1704676308059
2023-09-18,507.1031405651392,890.8665138029083,419.6390475582709,614.8447296518581
2023-09-19,506.05138739211384,887.8193198653437,418.2036792490206,613.4093613426078
2023-09-20,501.3991593443582,873.2691113925151,411.3498627336286,606.5555448272157
2023-09-21,493.1117816543238,857.8931711939794,404.1070886476627,599.3127707412499
2023-09-22,492.0030550599046,863.0286969319669,406.52615715681634,601.7318392504035
2023-09-25,494.0720309662633,871.6475631500874,410.5860390299882,605.7917211235754
2023-09-26,486.8134944020186,867.2720272124462,408.524960624885,603.7306427184722
2023-09-27,487.00779577896947,878.8317253850197,413.97010942781,609.1757915213972
2023-09-28,489.83124555571686,886.9192183760543,417.7796901038245,612.9853721974117
2023-09-29,488.6423809189192,882.5135005660674,415.70439465052334,610.9100767441105
2023-10-02,488.4480434600042,890.4406881104337,419.4384640979576,614.6441461915448
2023-10-03,481.9095946543126,877.6978134480448,413.4359848223,608.6416669158872
2023-10-04,485.41896256956267,876.3396403066437,412.79622288866994,608.0019049822572
